driver_id,quit_within_90_days
002be0ffdc997bd5c50703158b7c2491,FALSE
007f0389f9c7b03ef97098422f902e62,FALSE
011e5c5dfc5c2c92501b8b24d47509bc,FALSE
0152a2f305e71d26cc964f8d4411add9,FALSE
01674381af7edd264113d4e6ed55ecda,FALSE
0213f8b59219e32142711992ca4ec01f,TRUE
021e5cd15ef0bb3ec20a12af99e142b3,FALSE
0258e250ca195cc6258cbdc75aecd853,FALSE
028b5a4dcd7f4924ebfabcf2e814c014,FALSE
02d6a6b8a6da15fc219a9570f7ebbe78,FALSE
02e440f6c209206375833cef02e0cbae,TRUE
036f3d94e7c65e4e3574822d31c72656,TRUE
039c5afbca8e03e4c18d9c8ea94140ac,TRUE
039da9c077e17af98ca8530e4d7975f1,FALSE
03f2b5c74cb89f39e58711699e76bf39,FALSE
03f5278eb43475aa6790f5be32463755,FALSE
0430df9a3eb327122c57ee3a64765000,TRUE
04c4ffa5a385eab86fa7e422263d2999,TRUE
04d686ef2fba281e395992a28f14fdd3,TRUE
052bba06c5fc0bdea4bc2f9cb92b37c7,FALSE
059ed570673c2d15ca11dd6b3a25513b,FALSE
05addf442c147875efa5cf53453ad47b,FALSE
05bad02e08c7f849e91dc1259da8b4ec,TRUE
0656192a402808805282e60761bda088,FALSE
06b1ba06e5505f8218ec8686498f990a,TRUE
06c848ab3a7fc5421e82e98850a81710,FALSE
07dd442e3e0b9f0f9b0d69c7b47cbb06,TRUE
07e6a2fdaadc640cca9a7bec41351065,FALSE
081d8ba3bc9a00a481df02bd9d0a4c53,FALSE
0822973f3e812a68a867962dbbd37f5d,TRUE
08a1491d6a804e0af969f08252ddbbd8,FALSE
08b2b063cce8d02495c4b880293f153c,FALSE
0938ed763cb3129ae63607aaf69daff5,FALSE
0abc4faab8bbdf4d62412655fe0a2398,FALSE
0afc0241296972b583debd7c5f5c707c,FALSE
0b10af0ede0648dbe6ae05813c5cbf1b,TRUE
0b631e16fa61f7321da18cf35a076d5f,FALSE
0c02bd2b09f7193103279ab9b760b777,FALSE
0ca501b2a1d72e80e0d0cd2c25bdd124,FALSE
0d53c0441daccbb9022ccdcd2a58c7f7,FALSE
0e7f0f05c7e193b1774c2e5713741cd4,FALSE
0efa2b92642c1e6db77406bb3761baf4,FALSE
0eff1404b137a5562642f0f706e59f25,TRUE
0f057c0c73054f569a59a0880b91cbb0,FALSE
0f346940b7c9dc770d408b1063ed2f81,TRUE
100979abe35f7761f333bb7e63649767,FALSE
10570128e114c22b855f1155b88fb379,FALSE
10ab4d373b29fb6ee31ae2b7b39fc574,TRUE
10d2c35bb4b440aa1eaf06d477ff27a6,TRUE
1110d496149d3d8c50276765924df831,TRUE
1127af601413f32c08e2a89447e5f3b9,FALSE
113d6a61dd3bd21e5bc39bc19197f0f4,FALSE
11506b81721ca68ef019764de3d8edbd,TRUE
117ea72f13b43f0f4055b0472dcb6b1b,TRUE
118be60e268514eb85f66ddb82bfa407,TRUE
122972e7c73c944e744e6eca819d93e7,TRUE
12933735316b452a5bc6a933d1a38124,FALSE
133c19880625cbe91986ee3c402866cd,TRUE
1340d44ca7946f4192cd80d8f47ce99b,FALSE
14183e69946d782c92eb53b3c6eeb86f,FALSE
148fb453d12992652b56d8bc2cfb1b78,FALSE
156a150f1dbafbb01a786a5f45bdd7b6,TRUE
15e0ade28a7d24026b2fe91ef528ddf5,FALSE
162441a5f1b85a5c3780686296c3bc75,TRUE
163b1ac215580e695280d8f94c687ef4,TRUE
1674103b16c39ab56a76884b7c2ca83e,TRUE
1682c469cb12aa06b06d93ab87c3836a,FALSE
16cd1e08be52741e1516cade45ae7754,TRUE
17235b165b78a09be9cd7f9abc1e833a,TRUE
173a168d2b8830525f59be85a35f0000,TRUE
175540c364f94b6adbc0ce3541a3254a,FALSE
179ef343f855d34fa0262c720cdb9a52,TRUE
180284a755fb939181db32b838fd0720,FALSE
1805f90c5220ac830835df3309a76e78,TRUE
181396b71a4723deaa02c3dd3ffa9041,TRUE
183336ca67d3257c34cb80c9bd4dfb34,FALSE
186d02f3ae489428440a352e3fe503a4,FALSE
187a5227c531151abd112eef1d104301,TRUE
19029e596b5c3e45cc6b3cca0640fa58,TRUE
1925803c42c264e21fdcf0a35fbd2107,FALSE
1936275dcb0942dc60a378839fae4730,FALSE
1936720ce0900cbff6d9114328c84bee,FALSE
1989ad384dd8ab8f43fd19822c36aeac,FALSE
19daceea26aeb211cb8bf28c8497b6c2,FALSE
19e1cdfeaf90239d8585e6a78136a403,FALSE
1a2af09b492ba2519c5b4aec478642a7,FALSE
1aee4c95edf898beee1a8b49a1f898b0,TRUE
1b51afba3b72e0259db160170f824f95,TRUE
1b9ddecea8eb99bc37f9b0711546f1c0,FALSE
1c4312919166a0e7cefe6b3ddf1ec9c6,FALSE
1c44fab20b7f0804c11d88dc0554edf4,TRUE
1c6e8fbca23da68279d93b2de6eaa3d1,FALSE
1c95fcac4de21d077072da1ea1705eb5,TRUE
1cf95d6dd025d792340b623bcff18260,TRUE
1d789a00290ec2e8a4ae1c704f671caf,FALSE
1d7bc6daa163020694e2a5e636b96a0d,FALSE
1d92784a09b1d1f85b05508e33261efb,TRUE
1e836fdeba5bcacf45438c08bfcf4fa3,FALSE
1e9570c1846c0f79c1ec103f608bc8ee,FALSE
1eb30783865c10a8abc395e1b73bd578,TRUE
1ed175c60fdf7380fefc804bf4dd75f3,FALSE
1f83b77c681720ce48d33c21083c27e0,FALSE
1f8e4a81c9da3260c84f14483319a338,TRUE
